season,defense,predicted_percent_pcp,pcpoe,EPA
2020,ATL,0.33374449232173,-33.374449232173,2.114
2020,MIN,0.424461853705635,57.5538146294365,0.269
2020,NYJ,0.400673148598059,59.9326851401941,0.152
2020,LV,0.424461853705635,-42.4461853705635,0.691
2020,NE,0.287944092902014,-28.7944092902014,1.149
2020,WAS,0.3249115165085,-32.49115165085,1.044
2020,MIN,0.390146316213031,60.9853683786969,0.606
2020,NYJ,0.333370273387909,-33.3370273387909,0.729
2020,ATL,0.390146316213031,-39.0146316213031,0.997
2020,MIN,0.424461853705635,57.5538146294365,0.521
2020,WAS,0.324542377292008,-32.4542377292008,1.511
2020,ATL,0.268513047229662,73.1486952770338,0.317
2020,NE,0.472770506865263,52.7229493134737,0.117
2020,MIN,0.424461853705635,57.5538146294365,1.095
2020,ATL,0.277249999346067,-27.7249999346067,0.171
